Abiotrophia&nbsp;defectiva&nbsp;ATCC&nbsp;49176,223,214,367,161,35,35,98.386,https://www.vmh.life/#microbe/Corynebacterium_amycolatum_SK46,Yes (Opportunistic),vmh
Achromobacter&nbsp;xylosoxidans&nbsp;NBRC&nbsp;15126,287,283,1204,210,73,169,0.9825,https://www.vmh.life/#microbe/Achromobacter_xylosoxidans_NBRC_15126,Yes (Opportunistic),vmh
Acidaminococcus&nbsp;fermentans&nbsp;DSM&nbsp;20731,264,122,336,199,50,35,81.4985,https://www.vmh.life/#microbe/Acidaminococcus_fermentans_DSM_20731,Yes,vmh
Acinetobacter&nbsp;baumannii&nbsp;AB0057,232,144,491,170,48,60,133.601,https://vmh.life/#microbe/Acinetobacter_baumannii_AB0057,Yes,vmh
Acinetobacter&nbsp;junii&nbsp;SH205,96,207,351,170,75,87,86.0965,https://www.vmh.life/#microbe/Acinetobacter_junii_SH205,Yes (Opportunistic),vmh
Actinomyces&nbsp;graevenitzii&nbsp;C83,250,160,327,161,58,107,82.9802,https://www.vmh.life/#microbe/Actinomyces_graevenitzii_C83,Yes (Opportunistic),vmh
Actinomyces&nbsp;naeslundii&nbsp;str&nbsp;Howell&nbsp;279,272,152,334,150,80,42,120.793,https://www.vmh.life/#microbe/Actinomyces_naeslundii_str_Howell_279,Yes (Opportunistic),vmh
Actinomyces&nbsp;odontolyticus&nbsp;ATCC&nbsp;17982,92,140,390,165,60,156,63.4336,https://www.vmh.life/#microbe/Actinomyces_odontolyticus_ATCC_17982,Yes (Opportunistic),vmh
Actinomyces&nbsp;turicensis&nbsp;ACS&nbsp;279&nbsp;V&nbsp;Col4,217,137,331,151,50,38,61.7763,https://www.vmh.life/#microbe/Actinomyces_turicensis_ACS_279_V_Col4,Yes (Opportunistic),vmh
Actinomyces&nbsp;urogenitalis&nbsp;DSM&nbsp;15434,250,100,274,157,42,33,65.9611,https://www.vmh.life/#microbe/Actinomyces_urogenitalis_DSM_15434,Yes (Opportunistic),vmh
Actinomyces&nbsp;viscosus&nbsp;C505,256,178,307,157,75,75,111.736,https://www.vmh.life/#microbe/Actinomyces_viscosus_C505,Yes (Opportunistic),vmh
Arcanobacterium&nbsp;haemolyticum&nbsp;DSM&nbsp;20595,241,104,161,145,35,95,109.4561,https://www.vmh.life/#microbe/Arcanobacterium_haemolyticum_DSM_20595 ,Yes (Opportunistic),vmh
Atopobium&nbsp;minutum&nbsp;10063974,231,60,143,155,25,5,66.2621,https://www.vmh.life/#microbe/Atopobium_minutum_10063974,Yes (Opportunistic),vmh
